parameterization_id,ART Link Max,ART Link Mid,Base Infectivity,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,PreART Link Max,PreART Link Mid,PreART Link Min,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: Infmrl Condoms Late,Swaziland: LOW Risk,Swaziland: Trns Condoms Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Male To Female Young,Male To Female Old,iteration_number,run_number,sim_id,likelihood
22,0.944575914,2010.542947,0.002293385,0.00156154,1993.036372,2.968655271,0.223869392,2001.87735,2.598324183,0.000507904,0.81111491,1996.456717,0,1981.759847,0.323104505,16.24802365,0.04,16.77632994,0.339616507,0.758711128,0.105637581,1995.868242,2.42105059,0.000136986,4.802151687,2.480157425,,99,,1
28,0.953447494,2010.392601,0.002317437,0.00143389,1991.727509,2.956543504,0.211355321,2001.717329,3.174038297,0.00043564,0.742103668,1994.670683,0,1982.398408,0.367278737,16.45419884,0.067292758,17.99992411,0.356417035,0.754832917,0.078217257,1996.07883,2.823008319,0.000136986,5.076218106,2.587460106,,99,,1
37,0.95035766,2010.694464,0.002336221,0.001349896,1993.409736,3.061480287,0.237731444,2001.90429,2.240898521,0.000381036,0.882299281,1996.675313,0,1983.678246,0.313441905,16.23138997,0.04,17.3539593,0.334629317,0.734193487,0.07523717,1996.132586,2.827169268,0.000136986,4.667124783,2.893777257,,99,,1
41,0.952272606,2010.67988,0.002329444,0.001528969,1992.525789,3.012496834,0.215846177,2001.854496,2.418434048,0.000457182,0.80620739,1995.744056,0.007256419,1982.552924,0.309592429,16.30228293,0.042494848,17.49452131,0.339119744,0.730405439,0.100701789,1996.680484,3.003583202,0.000136986,4.89377618,2.857881347,,99,,1
44,0.946124771,2011,0.002328462,0.001449254,1992.401397,2.819622314,0.202774943,2001.862239,2.428877683,0.000491429,0.809762601,1998.127922,0.013540748,1982.961337,0.318870003,16.15472391,0.047696411,17.61111677,0.329587685,0.710153396,0.141049909,1996.992186,3.181427947,0.000136986,5.00726091,3.02041441,,99,,1
48,0.957002005,2010.935253,0.00228287,0.001387476,1992.888605,3.107694309,0.227511266,2001.292944,2.261965092,0.000549216,0.809533171,1995.701142,0.000685881,1982.869886,0.288679409,16.40370986,0.04,17.72103286,0.294580534,0.735752233,0.097722871,1996.938015,3.057289977,0.000154785,5.000090173,2.628316914,,99,,1
51,0.947710218,2010.061476,0.00234287,0.00159038,1992.082497,2.697205118,0.215369729,2002.100909,2.2118375,0.00049801,0.860208937,1994.062641,0,1982.828598,0.263513339,16.04918857,0.04,17.74073851,0.439036995,0.720920258,0.110173413,1995.772651,3.159326771,0.000168322,4.796611541,2.628399552,,99,,1
64,0.958266702,2010.660218,0.0023126,0.001627973,1992.519446,2.928281083,0.212503541,2001.58478,2.172015469,0.000485555,0.836935755,1994.493126,0,1982.264191,0.300349389,16.12635342,0.04,17.31236233,0.309312376,0.722039536,0.118472007,1996.077931,3.177311945,0.000145739,4.813583273,2.793147613,,99,,1
68,0.953904972,2010.644729,0.002312535,0.001429556,1992.420098,3.070345324,0.210200776,2002.394912,2.428168163,0.00044383,0.840275106,1994.652521,0.002160281,1982.005239,0.305029856,16.25022841,0.048774754,17.53785007,0.313218943,0.692055475,0.078976533,1997.186497,3.327512889,0.000136986,4.717822366,2.539857434,,99,,1
73,0.966240946,2010.729838,0.00233725,0.002103328,1993.373554,3.002576084,0.194924454,2001.464054,2.712160514,0.000558482,0.873711598,1995.476629,0.041791414,1982.644107,0.272045422,15.94815969,0.04,17.2282559,0.319786635,0.738668829,0.132611593,1997.923133,2.955454383,0.000136986,4.895799246,2.911957013,,99,,1
